entry,ep,exit,xp,pnl,bars,type
2021-01-06 04:00:00,1793.5633661349343,2021-01-08 09:00:00,1822.037635477584,-1.587580895121131,53,SHORT
2021-01-10 19:00:00,1821.2076204194448,2021-01-30 11:00:00,1849.5133329524965,-1.5542276572800975,472,SHORT
2021-01-31 05:00:00,1833.7521883105517,2021-02-02 07:00:00,1800.471701491707,-1.8148846409560988,50,LONG
2021-02-02 22:00:00,1812.318598874716,2021-02-05 07:00:00,1848.2271618323605,-1.9813603954591923,57,SHORT
2021-02-07 19:00:00,1841.1040437158465,2021-02-08 20:00:00,1810.843277852453,-1.6436206289742934,25,LONG
2021-02-09 13:00:00,1817.1448862579043,2021-02-12 04:00:00,1847.6224024379253,-1.677219929489726,63,SHORT
2021-02-13 02:00:00,1837.8300784260005,2021-02-15 21:00:00,1802.7112691095003,-1.9108844570972214,67,LONG
2021-02-16 17:00:00,1827.515203370125,2021-02-19 23:00:00,1855.2422603868383,-1.5171998003399294,78,SHORT
2021-02-20 11:00:00,1842.1551894403312,2021-02-23 13:00:00,1811.9816660765089,-1.637946875311273,74,LONG
2021-02-24 02:00:00,1822.2599308008676,2021-02-26 17:00:00,1849.6799279972672,-1.5047248053327282,63,SHORT
2021-02-27 08:00:00,1845.0210761420212,2021-03-02 15:00:00,1810.9931016674009,-1.844313591570107,79,LONG
2021-03-03 05:00:00,1826.5786060731548,2021-03-05 07:00:00,1857.5233802390003,-1.6941386515180807,50,SHORT
2021-03-05 22:00:00,1846.3061049595751,2021-03-09 13:00:00,1816.716890553454,-1.6026169402049901,87,LONG
2021-03-10 05:00:00,1828.906439389977,2021-03-12 15:00:00,1864.737823107229,-1.959169859405339,58,SHORT
2021-03-13 17:00:00,1854.4692040040263,2021-03-15 23:00:00,1825.599626121755,-1.5567569318454282,54,LONG
2021-03-16 12:00:00,1833.12052401948,2021-03-19 16:00:00,1861.909610940531,-1.5704961318050812,76,SHORT
2021-03-20 04:00:00,1851.622936246493,2021-03-23 06:00:00,1820.175598286767,-1.69836619238874,74,LONG
2021-03-23 19:00:00,1835.2163591307444,2021-03-26 10:00:00,1864.078908581508,-1.5727055454341259,63,SHORT
2021-03-27 00:00:00,1850.4405027521293,2021-03-30 06:00:00,1814.7698116729607,-1.9276864630943913,78,LONG
2021-03-30 18:00:00,1834.6568752820965,2021-04-02 08:00:00,1865.4532273081415,-1.678589192396524,62,SHORT
2021-04-03 05:00:00,1854.5233735563293,2021-04-06 00:00:00,1824.633645133598,-1.6117202322132567,67,LONG
